"Entity","Year","Annual CO₂ emissions"
"Asia","2000","9300388000"
"Asia","2001","9465591000"
"Asia","2002","1001179000"
"Asia","2003","10993457000"
"Asia","2004","11682397000"
"Asia","2005","12525343000"
"Asia","2006","13367103000"
"Asia","2007","14076976000"
"Asia","2008","14820116000"
"Asia","2009","15368629000"
"Asia","2010","1653673000"
"Asia","2011","17752203000"
"Asia","2012","18466894000"
"Asia","2013","18720993000"
"Asia","2014","19068563000"
"Asia","2015","19206867000"
"Asia","2016","19303905000"
"Asia","2017","19839646000"
"Asia","2018","20437713000"
"Asia","2019","20894499000"
"Asia","2020","20689746000"
"Asia","2021","21688988000"
